车型,城市,上牌量,级别,指导价(万元),能源类型,price_mean_auto,cluster
君威,聊城,20,中型车,15.98-17.58,燃油车,16.78,0
帕萨特,成都,545,中型车,16.45-23.99,燃油车,20.22,0
荣威D7,潍坊,17,中型车,12.38-21.98,燃油车,17.18,0
锋兰达,石家庄,41,SUV,12.58-18.48,燃油车,15.530000000000001,0
捷途山海L7,银川,14,SUV,12.98-22.78,燃油车,17.880000000000003,0
问界M5,阳泉,12,SUV,22.98-27.98,新能源,25.48,1
大通G50,安阳,26,MPV,8.68-14.98,燃油车,11.83,0
红旗HS5,汕头,18,SUV,18.38-24.98,燃油车,21.68,0
帝豪,沈阳,182,紧凑型车,6.29-14.98,燃油车,10.635,0
Panamera,武汉,38,大型车,99.80-247.60,燃油车,173.7,0
威然,成都,20,MPV,28.98-40.28,燃油车,34.63,0
红旗HS5,马鞍山,16,SUV,18.38-24.98,燃油车,21.68,0
宝来,长治,14,紧凑型车,11.29-14.39,燃油车,12.84,0
坦克400,广州,11,SUV,24.98-27.98,燃油车,26.48,0
锋兰达,宜宾,20,SUV,12.58-18.48,燃油车,15.530000000000001,0
坦克300新能源,大连,17,SUV,24.98-26.98,新能源,25.98,1
深蓝S07,邯郸,18,SUV,14.99-20.79,新能源,17.89,1
卡罗拉,温州,49,紧凑型车,11.68-15.58,燃油车,13.629999999999999,0
银河星舰7 EM-i,潍坊,30,SUV,10.38-13.68,燃油车,12.030000000000001,0
缤越,丹东,13,SUV,6.68-10.38,燃油车,8.530000000000001,0
海豹05 DM-i,襄阳,15,紧凑型车,7.98-10.38,新能源,9.18,1
逸动,商洛,12,紧凑型车,7.29-9.69,燃油车,8.49,0
帕萨特,嘉兴,72,中型车,16.45-23.99,燃油车,20.22,0
传祺向往S7,佛山,32,SUV,17.58-22.98,燃油车,20.28,0
秦PLUS,安顺,21,紧凑型车,7.98-17.98,新能源,12.98,1
零跑C16,商丘,25,SUV,15.18-18.98,新能源,17.08,1
海豚,烟台,50,小型车,9.98-12.98,新能源,11.48,1
纳米01,济宁,65,小型车,6.58-13.98,燃油车,10.280000000000001,0
格瑞维亚,晋城,15,MPV,29.98-41.68,燃油车,35.83,0
传祺GS8,聊城,11,SUV,15.98-24.68,燃油车,20.33,0
熊猫,菏泽,97,微型车,2.99-5.39,燃油车,4.1899999999999995,0
坦克500新能源,张家口,15,SUV,33.50-36.38,新能源,34.94,1
长安CS75 PLUS,乌海,49,SUV,11.39-14.99,燃油车,13.190000000000001,0
零跑T03,晋中,18,微型车,4.99-6.99,新能源,5.99,1
红旗H5,承德,19,中型车,15.98-22.58,燃油车,19.28,0
海狮07 EV,泰州,11,SUV,18.98-23.98,新能源,21.48,1
理想L6,南宁,173,SUV,24.98-27.98,新能源,26.48,1
星愿,随州,40,小型车,6.88-9.78,燃油车,8.33,0
元PLUS,南宁,97,SUV,11.58-14.78,新能源,13.18,1
212 T01,西安,11,SUV,13.99-18.88,燃油车,16.435,0
途岳,沈阳,89,SUV,12.59-21.66,燃油车,17.125,0
奇瑞iCAR V23,唐山,39,SUV,9.98-14.98,燃油车,12.48,0
海狮05 DM-i,西安,51,SUV,10.28-14.28,新能源,12.28,1
银河L6,哈尔滨,147,紧凑型车,8.28-14.98,燃油车,11.629999999999999,0
库斯途,临沂,19,MPV,16.98-22.08,燃油车,19.53,0
卡罗拉,昆明,104,紧凑型车,11.68-15.58,燃油车,13.629999999999999,0
瑞虎9,遵义,22,SUV,15.29-20.99,燃油车,18.14,0
小鹏G6,赣州,12,SUV,17.68-27.69,新能源,22.685000000000002,1
星愿,遂宁,27,小型车,6.88-9.78,燃油车,8.33,0
智己L6,长沙,28,中大型车,21.99-34.59,燃油车,28.29,0
宏光MINIEV,防城港,32,微型车,3.28-9.99,新能源,6.635,1
探险者,昆明,15,SUV,30.98-39.98,燃油车,35.48,0
迈腾,喀什,20,中型车,17.49-24.69,燃油车,21.09,0
领克03,济南,39,紧凑型车,12.78-42.03,燃油车,27.405,0
库斯途,佛山,11,MPV,16.98-22.08,燃油车,19.53,0
问界M8,合肥,171,SUV,35.98-44.98,新能源,40.48,1
T-ROC探歌,重庆,30,SUV,15.89-17.87,燃油车,16.880000000000003,0
红旗HS5,扬州,31,SUV,18.38-24.98,燃油车,21.68,0
五菱之光新能源,邢台,14,MPV,4.78-5.08,新能源,4.93,1
五菱缤果,黄山,16,小型车,5.68-8.88,燃油车,7.28,0
轩逸,乐山,23,紧凑型车,10.86-17.49,燃油车,14.174999999999999,0
银河星舰7 EM-i,深圳,150,SUV,10.38-13.68,燃油车,12.030000000000001,0
秦L,鄂尔多斯,159,中型车,9.98-15.38,新能源,12.68,1
皓影,平顶山,16,SUV,18.59-26.39,燃油车,22.490000000000002,0
比亚迪D1,郑州,15,MPV,16.08-16.98,新能源,16.53,1
奇瑞iCAR 03,宿迁,12,SUV,10.98-16.98,燃油车,13.98,0
宝马2系,广州,14,紧凑型车,25.99-27.99,燃油车,26.99,0
深蓝S05,郑州,132,SUV,11.99-14.99,新能源,13.49,1
捷达VS5,保定,50,SUV,8.79-12.19,燃油车,10.489999999999998,0
AION V,济宁,11,SUV,12.98-19.36,新能源,16.17,1
坦克300新能源,台州,12,SUV,24.98-26.98,新能源,25.98,1
君威,台州,33,中型车,15.98-17.58,燃油车,16.78,0
奥迪Q7,合肥,16,SUV,60.98-80.48,燃油车,70.73,0
缤越,沈阳,104,SUV,6.68-10.38,燃油车,8.530000000000001,0
宝马iX3,无锡,17,SUV,40.50-44.50,燃油车,42.5,0
唐L,通辽,12,SUV,22.98-28.98,新能源,25.98,1
红旗HS3 PHEV,鄂尔多斯,21,SUV,15.98-15.98,新能源,15.98,1
212 T01,昆明,13,SUV,13.99-18.88,燃油车,16.435,0
宝骏享境,青岛,18,中大型车,12.98-15.38,燃油车,14.18,0
帕萨特,包头,47,中型车,16.45-23.99,燃油车,20.22,0
缤越,宣城,14,SUV,6.68-10.38,燃油车,8.530000000000001,0
缤越,宜昌,14,SUV,6.68-10.38,燃油车,8.530000000000001,0
捷达VS5,运城,24,SUV,8.79-12.19,燃油车,10.489999999999998,0
欧拉好猫,唐山,41,小型车,10.58-13.58,燃油车,12.08,0
星越L,漯河,49,SUV,13.72-17.97,燃油车,15.844999999999999,0
逍客,株洲,27,SUV,12.59-17.49,燃油车,15.04,0
高尔夫,潍坊,25,紧凑型车,12.99-16.58,燃油车,14.785,0
零跑C11,襄阳,13,SUV,14.88-20.98,新能源,17.93,1
速腾,白城,19,紧凑型车,12.79-17.29,燃油车,15.04,0
汉兰达,郑州,164,SUV,24.98-34.88,新能源,29.93,1
问界M8,常州,54,SUV,35.98-44.98,新能源,40.48,1
坦克300,大连,22,SUV,19.98-33.00,燃油车,26.490000000000002,0
皓影,莆田,20,SUV,18.59-26.39,燃油车,22.490000000000002,0
海豚,北京,91,小型车,9.98-12.98,新能源,11.48,1
风云T8,芜湖,22,SUV,10.39-15.09,燃油车,12.74,0
五菱宏光新能源,河源,11,MPV,6.88-7.38,新能源,7.13,1
锋兰达,郑州,159,SUV,12.58-18.48,燃油车,15.530000000000001,0
昊铂HT,苏州,16,SUV,21.39-32.99,燃油车,27.19,0
朗逸,红河,33,紧凑型车,8.00-15.19,燃油车,11.594999999999999,0
宋PLUS新能源,济宁,64,SUV,13.58-18.08,新能源,15.829999999999998,1
星愿,海口,239,小型车,6.88-9.78,燃油车,8.33,0
小鹏G9,临沂,13,SUV,24.88-35.99,新能源,30.435000000000002,1
雅阁,邵阳,41,中型车,17.98-23.88,燃油车,20.93,0
阿维塔06,济宁,19,中型车,20.99-27.99,新能源,24.49,1
本田CR-V,南阳,85,SUV,18.59-26.39,燃油车,22.490000000000002,0
宝来,许昌,17,紧凑型车,11.29-14.39,燃油车,12.84,0
长安欧尚X5 PLUS,镇江,13,SUV,9.19-11.49,燃油车,10.34,0
凯美瑞,银川,33,中型车,17.18-25.98,燃油车,21.58,0
凯迪拉克XT5,临沂,13,SUV,35.27-45.99,燃油车,40.63,0
途昂,淄博,13,SUV,24.90-38.90,燃油车,31.9,0
海鸥,钦州,47,小型车,6.98-8.58,新能源,7.78,1
轩逸,临沂,125,紧凑型车,10.86-17.49,燃油车,14.174999999999999,0
凯美瑞,长春,149,中型车,17.18-25.98,燃油车,21.58,0
秦L,泰安,96,中型车,9.98-15.38,新能源,12.68,1
奥迪Q3,沈阳,39,SUV,25.18-29.68,燃油车,27.43,0
宋Pro新能源,滨州,60,SUV,10.28-14.28,新能源,12.28,1
奥迪A6L,银川,42,中大型车,42.79-65.68,燃油车,54.235,0
小鹏G6,深圳,190,SUV,17.68-27.69,新能源,22.685000000000002,1
皓影,松原,43,SUV,18.59-26.39,燃油车,22.490000000000002,0
瑞虎8,东莞,13,SUV,9.78-16.19,燃油车,12.985,0
揽巡,昆明,41,SUV,24.29-32.59,燃油车,28.44,0
雷克萨斯NX,中山,27,SUV,31.88-54.88,燃油车,43.38,0
零跑C16,沈阳,67,SUV,15.18-18.98,新能源,17.08,1
逍客,临夏,17,SUV,12.59-17.49,燃油车,15.04,0
沃尔沃XC60插电式混动,天津,34,SUV,52.39-60.39,新能源,56.39,1
风云A8,佛山,21,紧凑型车,7.99-14.99,燃油车,11.49,0
宋PLUS新能源,玉林,45,SUV,13.58-18.08,新能源,15.829999999999998,1
长安UNI-V,江门,26,紧凑型车,10.89-13.99,燃油车,12.440000000000001,0
昂科威S,吉林,13,SUV,19.69-22.29,燃油车,20.990000000000002,0
长安启源A07,台州,20,中大型车,11.99-17.69,燃油车,14.84,0
君威,湘潭,13,中型车,15.98-17.58,燃油车,16.78,0
日产N7,石家庄,26,中大型车,11.99-14.99,燃油车,13.49,0
赛那SIENNA,新乡,30,MPV,29.98-41.18,燃油车,35.58,0
宝马2系,成都,45,紧凑型车,25.99-27.99,燃油车,26.99,0
蔚来ET5,武汉,25,中型车,29.80-35.60,新能源,32.7,1
海鸥,衢州,54,小型车,6.98-8.58,新能源,7.78,1
欧诺S,石家庄,18,MPV,4.69-5.44,燃油车,5.065,0
长安欧尚X5 PLUS,乐山,13,SUV,9.19-11.49,燃油车,10.34,0
奔驰GLB,广州,82,SUV,31.19-36.79,燃油车,33.99,0
AION UT,岳阳,15,小型车,6.98-10.18,新能源,8.58,1
凯迪拉克XT5,广州,40,SUV,35.27-45.99,燃油车,40.63,0
腾势N9,榆林,21,SUV,38.98-44.98,新能源,41.98,1
零跑B10,大同,13,SUV,9.98-14.98,新能源,12.48,1
风云T9,海口,25,SUV,12.99-19.39,燃油车,16.19,0
格瑞维亚,锦州,13,MPV,29.98-41.68,燃油车,35.83,0
零跑T03,江门,19,微型车,4.99-6.99,新能源,5.99,1
智己L6,济宁,13,中大型车,21.99-34.59,燃油车,28.29,0
星瑞,襄阳,16,紧凑型车,9.97-14.57,燃油车,12.27,0
星愿,漯河,117,小型车,6.88-9.78,燃油车,8.33,0
凯迪拉克CT5,武汉,108,中型车,28.99-34.59,燃油车,31.79,0
星愿,内江,28,小型车,6.88-9.78,燃油车,8.33,0
魏牌 高山,青岛,89,MPV,30.98-40.58,燃油车,35.78,0
星越L,黄石,30,SUV,13.72-17.97,燃油车,15.844999999999999,0
五菱宏光新能源,枣庄,11,MPV,6.88-7.38,新能源,7.13,1
日产N7,南昌,60,中大型车,11.99-14.99,燃油车,13.49,0
捷达VA3,怀化,27,紧凑型车,6.58-9.48,燃油车,8.030000000000001,0
本田CR-V,承德,40,SUV,18.59-26.39,燃油车,22.490000000000002,0
秦PLUS,十堰,26,紧凑型车,7.98-17.98,新能源,12.98,1
菱智,郑州,11,MPV,5.99-9.99,燃油车,7.99,0
五菱宏光新能源,济宁,45,MPV,6.88-7.38,新能源,7.13,1
沃尔沃S60,保定,15,中型车,30.69-38.49,燃油车,34.59,0
五菱宏光S,吕梁,38,MPV,0.00-0.00,燃油车,0.0,0
长安CS75 PLUS,天水,39,SUV,11.39-14.99,燃油车,13.190000000000001,0
问界M9,营口,15,SUV,46.98-56.98,新能源,51.98,1
AION S,泸州,35,紧凑型车,13.98-17.98,新能源,15.98,1
长安CS75 PLUS,绵阳,39,SUV,11.39-14.99,燃油车,13.190000000000001,0
宝骏悦也Plus,呼和浩特,11,SUV,7.68-10.58,燃油车,9.129999999999999,0
海鸥,廊坊,258,小型车,6.98-8.58,新能源,7.78,1
捷达VS5,泉州,11,SUV,8.79-12.19,燃油车,10.489999999999998,0
君威,珠海,11,中型车,15.98-17.58,燃油车,16.78,0
长安启源Q05,喀什,103,SUV,9.69-12.79,燃油车,11.239999999999998,0
沃尔沃XC90插电式混动,北京,14,SUV,79.59-89.49,新能源,84.53999999999999,1
艾瑞泽8,安顺,29,紧凑型车,9.99-14.89,燃油车,12.440000000000001,0
卡罗拉锐放,武汉,144,SUV,12.98-18.48,燃油车,15.73,0
极氪007GT,哈尔滨,30,中型车,20.29-26.29,新能源,23.29,1
长安CS75 PLUS,承德,70,SUV,11.39-14.99,燃油车,13.190000000000001,0
星越L,西双版纳,11,SUV,13.72-17.97,燃油车,15.844999999999999,0
银河E8,广州,15,中大型车,15.38-22.88,燃油车,19.13,0
汉L,海口,38,中大型车,20.98-27.98,新能源,24.48,1
瑞虎5x,长沙,13,SUV,5.99-9.99,燃油车,7.99,0
长安Lumin,安阳,111,微型车,3.79-6.59,燃油车,5.1899999999999995,0
沃尔沃XC60,怀化,13,SUV,39.69-47.49,燃油车,43.59,0
奥迪Q5L,衡阳,20,SUV,34.98-48.88,燃油车,41.93,0
元UP,岳阳,21,SUV,9.68-11.98,新能源,10.83,1
星越L,四平,11,SUV,13.72-17.97,燃油车,15.844999999999999,0
元UP,佛山,92,SUV,9.68-11.98,新能源,10.83,1
理想L9,西安,251,SUV,40.98-43.98,新能源,42.48,1
元UP,曲靖,22,SUV,9.68-11.98,新能源,10.83,1
普拉多,温州,11,SUV,44.98-55.98,燃油车,50.48,0
奔驰GLC,扬州,51,SUV,42.78-53.13,燃油车,47.955,0
海豹06GT,扬州,15,中型车,13.68-18.68,新能源,16.18,1
零跑B10,聊城,19,SUV,9.98-14.98,新能源,12.48,1
领克08 EM-P,金华,18,SUV,18.58-24.88,燃油车,21.729999999999997,0
理想L9,中山,59,SUV,40.98-43.98,新能源,42.48,1
红旗H9,潍坊,19,中大型车,30.98-86.00,燃油车,58.49,0
宝马3系,周口,34,中型车,29.99-39.99,燃油车,34.99,0
零跑C11,株洲,12,SUV,14.88-20.98,新能源,17.93,1
哈弗H6,嘉兴,22,SUV,9.89-14.69,燃油车,12.29,0
Model 3,淮安,21,中型车,23.19-33.95,新能源,28.57,1
深蓝G318,大连,19,SUV,17.59-31.80,新能源,24.695,1
五菱缤果,蚌埠,15,小型车,5.68-8.88,燃油车,7.28,0
速腾,济南,258,紧凑型车,12.79-17.29,燃油车,15.04,0
昂科威Plus,通辽,24,SUV,22.99-25.99,燃油车,24.49,0
元UP,惠州,46,SUV,9.68-11.98,新能源,10.83,1
小鹏MONA M03,洛阳,31,紧凑型车,11.98-15.58,新能源,13.780000000000001,1
宝马4系,无锡,41,中型车,37.99-57.69,燃油车,47.84,0
eπ008,湛江,13,SUV,17.86-20.36,燃油车,19.11,0
奥迪Q5L,长沙,210,SUV,34.98-48.88,燃油车,41.93,0
速腾,长治,129,紧凑型车,12.79-17.29,燃油车,15.04,0
奔驰A级,合肥,25,紧凑型车,25.13-27.57,燃油车,26.35,0
五菱之光,邢台,20,MPV,3.51-3.79,燃油车,3.65,0
瑞虎8L,商丘,15,SUV,12.99-17.49,燃油车,15.239999999999998,0
海豹05 DM-i,廊坊,136,紧凑型车,7.98-10.38,新能源,9.18,1
长安UNI-V,遵义,20,紧凑型车,10.89-13.99,燃油车,12.440000000000001,0
帕萨特,北京,605,中型车,16.45-23.99,燃油车,20.22,0
腾势D9,上海,119,MPV,33.98-66.00,新能源,49.989999999999995,1
皓影,信阳,11,SUV,18.59-26.39,燃油车,22.490000000000002,0
宏光MINIEV,呼伦贝尔,23,微型车,3.28-9.99,新能源,6.635,1
欧萌达,黔南,21,SUV,10.99-12.99,燃油车,11.99,0
锋兰达,吉林,36,SUV,12.58-18.48,燃油车,15.530000000000001,0
奔驰GLC,新乡,12,SUV,42.78-53.13,燃油车,47.955,0
迈腾,张家口,21,中型车,17.49-24.69,燃油车,21.09,0
铂智3X,宿迁,18,SUV,10.98-15.98,燃油车,13.48,0
极氪007GT,桂林,40,中型车,20.29-26.29,新能源,23.29,1
长安启源A07,徐州,58,中大型车,11.99-17.69,燃油车,14.84,0
腾势N9,兰州,23,SUV,38.98-44.98,新能源,41.98,1
卡罗拉锐放,曲靖,41,SUV,12.98-18.48,燃油车,15.73,0
奥迪A4L,秦皇岛,15,中型车,28.98-40.08,燃油车,34.53,0
凯美瑞,岳阳,48,中型车,17.18-25.98,燃油车,21.58,0
朗逸,襄阳,53,紧凑型车,8.00-15.19,燃油车,11.594999999999999,0
问界M8,南昌,56,SUV,35.98-44.98,新能源,40.48,1
欧诺S,杭州,32,MPV,4.69-5.44,燃油车,5.065,0
昂科威Plus,滨州,23,SUV,22.99-25.99,燃油车,24.49,0
别克GL8新能源,信阳,17,MPV,24.99-41.99,新能源,33.49,1
博越L,平凉,15,SUV,9.99-14.97,燃油车,12.48,0
宋PLUS新能源,清远,54,SUV,13.58-18.08,新能源,15.829999999999998,1
长安UNI-Z新能源,海口,12,SUV,11.79-13.39,新能源,12.59,1
五菱之光,金华,19,MPV,3.51-3.79,燃油车,3.65,0
海豹06GT,蚌埠,11,中型车,13.68-18.68,新能源,16.18,1
长安欧尚X5 PLUS,南京,30,SUV,9.19-11.49,燃油车,10.34,0
秦PLUS,阳江,12,紧凑型车,7.98-17.98,新能源,12.98,1
宝马7系,北京,30,大型车,91.90-126.90,燃油车,109.4,0
AION UT,濮阳,17,小型车,6.98-10.18,新能源,8.58,1
别克GL8新能源,金华,33,MPV,24.99-41.99,新能源,33.49,1
星纪元 ES,赣州,14,中大型车,15.28-29.99,新能源,22.634999999999998,1
捷途山海T1,贵阳,13,SUV,13.49-17.99,燃油车,15.739999999999998,0
逸动,东营,17,紧凑型车,7.29-9.69,燃油车,8.49,0
五菱宏光V,东莞,116,MPV,4.31-5.45,燃油车,4.88,0
秦新能源,南阳,11,紧凑型车,16.88-16.88,新能源,16.88,1
亚洲龙,衡阳,41,中型车,17.88-27.98,燃油车,22.93,0
枫叶60s,福州,81,紧凑型车,9.98-16.38,燃油车,13.18,0
五菱宏光S,保定,78,MPV,0.00-0.00,燃油车,0.0,0
极狐 阿尔法S5,深圳,60,中型车,12.78-18.48,燃油车,15.629999999999999,0
哈弗大狗,塔城,11,SUV,11.99-16.79,燃油车,14.39,0
零跑C11,太原,92,SUV,14.88-20.98,新能源,17.93,1
捷达VA3,昆明,46,紧凑型车,6.58-9.48,燃油车,8.030000000000001,0
电动MINI COOPER,苏州,30,小型车,20.98-25.98,新能源,23.48,1
宝马X3,银川,19,SUV,34.99-48.69,燃油车,41.84,0
海豹06新能源,达州,15,中型车,9.98-13.98,新能源,11.98,1
哈弗猛龙新能源,庆阳,13,SUV,16.58-19.28,新能源,17.93,1
荣威D6,苏州,39,紧凑型车,9.98-13.98,燃油车,11.98,0
长安启源Q05,郑州,17,SUV,9.69-12.79,燃油车,11.239999999999998,0
问界M9,湖州,41,SUV,46.98-56.98,新能源,51.98,1
星瑞,自贡,11,紧凑型车,9.97-14.57,燃油车,12.27,0
阿维塔07,长沙,108,SUV,21.99-28.99,新能源,25.49,1
RAV4荣放,荆州,41,SUV,16.98-26.38,燃油车,21.68,0
风云T9,珠海,19,SUV,12.99-19.39,燃油车,16.19,0
日产N7,青岛,31,中大型车,11.99-14.99,燃油车,13.49,0
长安启源Q07,达州,16,SUV,12.98-17.18,燃油车,15.08,0
星越L,邯郸,65,SUV,13.72-17.97,燃油车,15.844999999999999,0
奇瑞iCAR V23,兰州,13,SUV,9.98-14.98,燃油车,12.48,0
欧萌达,惠州,14,SUV,10.99-12.99,燃油车,11.99,0
零跑C11,肇庆,13,SUV,14.88-20.98,新能源,17.93,1
红旗H5,开封,23,中型车,15.98-22.58,燃油车,19.28,0
乐道L60,昆明,55,SUV,20.69-25.59,燃油车,23.14,0
红旗H5,曲靖,24,中型车,15.98-22.58,燃油车,19.28,0
腾势D9,天津,128,MPV,33.98-66.00,新能源,49.989999999999995,1
速腾,江门,22,紧凑型车,12.79-17.29,燃油车,15.04,0
唐L,廊坊,32,SUV,22.98-28.98,新能源,25.98,1
朗逸,丽江,14,紧凑型车,8.00-15.19,燃油车,11.594999999999999,0
瑞虎9,宁波,68,SUV,15.29-20.99,燃油车,18.14,0
eπ008,呼和浩特,13,SUV,17.86-20.36,燃油车,19.11,0
smart精灵#1,常州,38,SUV,15.49-28.49,燃油车,21.99,0
宝马3系,苏州,576,中型车,29.99-39.99,燃油车,34.99,0
唐L,沧州,25,SUV,22.98-28.98,新能源,25.98,1
奥德赛,北京,138,MPV,23.58-43.98,燃油车,33.78,0
缤瑞,江门,14,紧凑型车,8.98-10.98,燃油车,9.98,0
唐新能源,南阳,20,SUV,17.98-26.98,新能源,22.48,1
海豹06新能源,长沙,243,中型车,9.98-13.98,新能源,11.98,1
皓影,南宁,44,SUV,18.59-26.39,燃油车,22.490000000000002,0
五菱宏光V,丽水,28,MPV,4.31-5.45,燃油车,4.88,0
极狐考拉,宁波,34,MPV,11.98-16.98,燃油车,14.48,0
帕萨特,苏州,400,中型车,16.45-23.99,燃油车,20.22,0
瑞虎8 PLUS,遵义,17,SUV,10.99-16.29,燃油车,13.64,0
Model 3,衢州,26,中型车,23.19-33.95,新能源,28.57,1
秦PLUS,临沂,171,紧凑型车,7.98-17.98,新能源,12.98,1
长安欧尚X5 PLUS,厦门,25,SUV,9.19-11.49,燃油车,10.34,0
宝马3系,潍坊,87,中型车,29.99-39.99,燃油车,34.99,0
坦克400新能源,郑州,56,SUV,27.98-28.98,新能源,28.48,1
AION V,厦门,23,SUV,12.98-19.36,新能源,16.17,1
卡罗拉锐放,海口,135,SUV,12.98-18.48,燃油车,15.73,0
宝马3系,黄冈,19,中型车,29.99-39.99,燃油车,34.99,0
威兰达,东莞,323,SUV,17.38-26.48,燃油车,21.93,0
传祺GS3,阳泉,25,SUV,8.58-11.18,燃油车,9.879999999999999,0
长安Lumin,焦作,348,微型车,3.79-6.59,燃油车,5.1899999999999995,0
雷克萨斯RX,汕头,14,SUV,38.00-61.90,燃油车,49.95,0
Macan新能源,北京,12,SUV,59.80-96.80,新能源,78.3,1
极氪007GT,泉州,35,中型车,20.29-26.29,新能源,23.29,1
小米SU7,太原,180,中大型车,21.59-29.99,新能源,25.79,1
逸动,绍兴,63,紧凑型车,7.29-9.69,燃油车,8.49,0
雅阁,聊城,50,中型车,17.98-23.88,燃油车,20.93,0
银河E5,深圳,95,SUV,11.28-14.88,燃油车,13.08,0
逸动,黄山,20,紧凑型车,7.29-9.69,燃油车,8.49,0
红旗H5,南充,19,中型车,15.98-22.58,燃油车,19.28,0
智己L6,银川,12,中大型车,21.99-34.59,燃油车,28.29,0
卡罗拉锐放,南昌,52,SUV,12.98-18.48,燃油车,15.73,0
卡罗拉锐放,聊城,38,SUV,12.98-18.48,燃油车,15.73,0
深蓝S09,赣州,12,SUV,23.99-30.99,新能源,27.49,1
捷途X90,六安,15,SUV,13.99-17.29,燃油车,15.64,0
五菱宏光V,泉州,39,MPV,4.31-5.45,燃油车,4.88,0
荣威i5,吉林,22,紧凑型车,6.89-9.09,燃油车,7.99,0
问界M7,佛山,41,SUV,24.98-32.98,新能源,28.979999999999997,1
捷达VA3,临沧,11,紧凑型车,6.58-9.48,燃油车,8.030000000000001,0
唐新能源,珠海,12,SUV,17.98-26.98,新能源,22.48,1
汉,上海,275,中大型车,16.58-25.98,新能源,21.28,1
小蚂蚁,郑州,46,微型车,5.49-7.69,燃油车,6.59,0
思域,合肥,36,紧凑型车,12.99-18.79,燃油车,15.89,0
RAV4荣放,周口,40,SUV,16.98-26.38,燃油车,21.68,0
海鸥,丽水,97,小型车,6.98-8.58,新能源,7.78,1
皇冠陆放,昆明,51,SUV,27.78-35.28,燃油车,31.53,0
夏,中山,26,MPV,24.98-30.98,燃油车,27.98,0
五菱星光,东莞,16,中型车,7.98-12.58,燃油车,10.280000000000001,0
领克03,新余,11,紧凑型车,12.78-42.03,燃油车,27.405,0
AION Y,开封,13,SUV,9.98-14.58,新能源,12.280000000000001,1
理想MEGA,天津,21,MPV,52.98-55.98,新能源,54.48,1
荣威i5,黔西南,13,紧凑型车,6.89-9.09,燃油车,7.99,0
思域,韶关,38,紧凑型车,12.99-18.79,燃油车,15.89,0
朗逸,武汉,255,紧凑型车,8.00-15.19,燃油车,11.594999999999999,0
理想L8,济南,95,SUV,32.18-37.98,新能源,35.08,1
海鸥,南通,197,小型车,6.98-8.58,新能源,7.78,1
瑞虎8L,株洲,11,SUV,12.99-17.49,燃油车,15.239999999999998,0
长安启源Q07,长春,57,SUV,12.98-17.18,燃油车,15.08,0
沃尔沃S90,上海,62,中大型车,40.69-50.59,燃油车,45.64,0
星愿,铁岭,17,小型车,6.88-9.78,燃油车,8.33,0
捷达VS5,桂林,19,SUV,8.79-12.19,燃油车,10.489999999999998,0
凯美瑞,大连,127,中型车,17.18-25.98,燃油车,21.58,0
奥迪Q5L,铜仁,13,SUV,34.98-48.88,燃油车,41.93,0
凯迪拉克CT5,驻马店,20,中型车,28.99-34.59,燃油车,31.79,0
传祺M8,新乡,21,MPV,17.98-34.28,燃油车,26.130000000000003,0
悦意03,临沂,45,SUV,7.98-12.29,燃油车,10.135,0
理想L9,青岛,79,SUV,40.98-43.98,新能源,42.48,1
熊猫,济宁,125,微型车,2.99-5.39,燃油车,4.1899999999999995,0
宋Pro新能源,张家口,25,SUV,10.28-14.28,新能源,12.28,1
秦PLUS,广州,268,紧凑型车,7.98-17.98,新能源,12.98,1
RAV4荣放,锡林郭勒,23,SUV,16.98-26.38,燃油车,21.68,0
传祺ES9,广州,19,SUV,22.98-26.98,燃油车,24.98,0
荣威D6,遵义,15,紧凑型车,9.98-13.98,燃油车,11.98,0
深蓝S05,沈阳,53,SUV,11.99-14.99,新能源,13.49,1
岚图梦想家,沧州,38,MPV,32.99-63.99,新能源,48.49,1
逍客,聊城,11,SUV,12.59-17.49,燃油车,15.04,0
探岳,咸阳,21,SUV,19.89-25.99,燃油车,22.939999999999998,0
奥迪A6L,滨州,61,中大型车,42.79-65.68,燃油车,54.235,0
高尔夫,长春,109,紧凑型车,12.99-16.58,燃油车,14.785,0
小米SU7,苏州,939,中大型车,21.59-29.99,新能源,25.79,1
理想L6,珠海,73,SUV,24.98-27.98,新能源,26.48,1
蔚来ES6,扬州,29,SUV,33.80-39.60,新能源,36.7,1
秦PLUS,凉山,26,紧凑型车,7.98-17.98,新能源,12.98,1
小鹏P7+,哈尔滨,16,中大型车,18.68-20.88,新能源,19.78,1
深蓝S05,长春,15,SUV,11.99-14.99,新能源,13.49,1
宝马3系,连云港,29,中型车,29.99-39.99,燃油车,34.99,0
奇骏,银川,33,SUV,17.99-26.29,燃油车,22.14,0
轩逸,遵义,43,紧凑型车,10.86-17.49,燃油车,14.174999999999999,0
AION V,海口,30,SUV,12.98-19.36,新能源,16.17,1
乐道L60,南宁,52,SUV,20.69-25.59,燃油车,23.14,0
银河L7,佛山,19,SUV,11.58-16.97,燃油车,14.274999999999999,0
博越L,盐城,17,SUV,9.99-14.97,燃油车,12.48,0
小鹏MONA M03,晋城,11,紧凑型车,11.98-15.58,新能源,13.780000000000001,1
红旗H5,宜昌,19,中型车,15.98-22.58,燃油车,19.28,0
宝骏悦也Plus,东莞,16,SUV,7.68-10.58,燃油车,9.129999999999999,0
红旗HS5,乌鲁木齐,48,SUV,18.38-24.98,燃油车,21.68,0
